time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,5.469233292175892,0.0
1e-06,0.1964695017248531,0.09614190501151842,-7.54919721107059,0.1964695017248531
2e-06,0.25085912966221574,-0.07542598559721297,-19.16199056023211,0.25085912966221574
3e-06,-0.7246321247495718,-0.4437106450052218,-21.322100372727203,-0.7246321247495718
4e-06,-3.0394882941562638,-0.8097761380659796,-25.262580983351867,-3.0394882941562638
4.9999999999999996e-06,-6.713329914530869,-1.1656934807082098,-29.22589172065909,-6.713329914530869
6e-06,-11.643513214667689,-1.487392245170031,-29.398264484308406,-11.643513214667689
7e-06,-17.5740155817429,-1.6885092349879067,-34.245639916095115,-17.5740155817429
8e-06,-24.118976955517432,-1.841633667851734,-35.58590172228632,-24.118976955517432
9e-06,-31.07043008010168,-1.881413848937669,-30.88991794469885,-31.07043008010168
9.999999999999999e-06,-37.77123121070435,-1.7115882576927586,-33.57782864558493,-37.77123121070435
1.1e-05,-43.68434921384039,-1.4744468105588846,-35.553885894320764,-43.68434921384039
1.2e-05,-48.61348575724484,-1.1752291138026436,-33.56036277253533,-48.61348575724484
1.3e-05,-52.25814814600916,-0.7779513407403661,-28.688032453194236,-52.25814814600916
1.4e-05,-54.223195611161024,-0.2702796224150399,-32.132415145450516,-54.223195611161024
1.4999999999999999e-05,-54.359708287032134,0.17688919504002173,-41.96920452857866,-54.359708287032134
1.6e-05,-53.25446160402961,0.3773105272335922,-46.84691781023352,-53.25446160402961
1.7e-05,-51.68656135286551,0.46479895325012555,-46.93382386871883,-51.68656135286551
1.8e-05,-49.86366910733911,0.5168199335305519,-43.86246696300593,-49.86366910733911
1.8999999999999998e-05,-47.80336418921982,0.6043680919424079,-39.54240784595652,-47.80336418921982
1.9999999999999998e-05,-45.362874624054456,0.7073028043836569,-38.47141852786925,-45.362874624054456
2.1e-05,-42.592351246887624,0.7883758187099534,-36.103575251317736,-42.592351246887624
2.2e-05,-39.56101612588217,0.8374518008025702,-32.81570457088964,-39.56101612588217
2.3e-05,-36.387971749729495,0.8752961395659785,-30.519395574789034,-36.387971749729495
2.4e-05,-33.07241590521162,0.9431581888201492,-18.369929591834516,-33.07241590521162
2.4999999999999998e-05,-29.188715922097746,1.175609135212016,-5.855789848355375,-29.188715922097746
2.6e-05,-24.133836951229952,1.5593405934706475,-1.3496544924663145,-24.133836951229952
2.7e-05,-17.777360280755996,1.8436790031522599,2.6505325020206314,-17.777360280755996
2.8e-05,-10.572129275963576,2.0364412121117925,2.2704062250993906,-10.572129275963576
2.9e-05,-2.873894986399211,2.0965375289820085,6.653271695385237,-2.873894986399211
2.9999999999999997e-05,4.8957063617642955,2.094815277719516,15.810665006122411,4.8957063617642955
3.1e-05,12.748467294410316,2.146804288245442,20.709745146918387,12.748467294410316
3.2e-05,20.65486366046664,2.0947860600789903,28.705778861149422,20.65486366046664
3.2999999999999996e-05,28.31028841733791,2.043202919914122,38.69636044816599,28.31028841733791
3.4e-05,36.019423097983704,2.160219544656442,53.050259587134015,36.019423097983704
3.5e-05,44.29970779311111,2.29299788640471,73.55401365316479,44.29970779311111
3.6e-05,53.422118632641705,2.666654017863183,87.2695559015032,53.422118632641705
3.7e-05,64.13249512765172,3.084314386831581,90.0740714696302,64.13249512765172
3.7999999999999995e-05,76.01156494242376,3.2676590429362844,83.48052979898611,76.01156494242376
3.9e-05,87.83005949405927,3.038040722657847,71.35319257384295,87.83005949405927
3.9999999999999996e-05,97.85564993002578,2.306130726100469,60.044561529300246,97.85564993002578
4.1e-05,104.62047219277964,1.2985670187300635,52.64699682427594,104.62047219277964
4.2e-05,107.3949746189341,0.20684987745950134,49.26502708786345,107.3949746189341
4.2999999999999995e-05,106.10018879624076,-0.904829961814251,50.628976612851886,106.10018879624076
4.4e-05,100.86287358049194,-1.8784736480634605,53.872102925300865,100.86287358049194
4.4999999999999996e-05,92.48773169734335,-2.594032732232887,62.699335365265576,92.48773169734335
4.6e-05,82.1616172096079,-2.9246996417241573,72.36239191721475,82.1616172096079
4.7e-05,71.4005820799964,-2.783056806248003,93.36297509829257,71.4005820799964
4.8e-05,62.25292346711685,-2.103301412372134,112.63831092288866,62.25292346711685
4.9e-05,56.32432663726875,-1.0153463720263365,119.33711810982825,56.32432663726875
4.9999999999999996e-05,55.03684760206092,0.3194893960218379,115.83889573148227,55.03684760206092
5.1e-05,58.46243590723182,1.4735684536127036,111.93835975992468,58.46243590723182
5.2e-05,65.64443832352313,2.3539414573994923,107.31192338129333,65.64443832352313
5.3e-05,75.56516051864592,2.9641730403799667,106.06058795654349,75.56516051864592
5.4e-05,87.21452910620788,3.284953918291834,106.41435811712229,87.21452910620788
5.4999999999999995e-05,99.54139745854165,3.3217824917108683,103.5807997100199,99.54139745854165
5.6e-05,111.4882041716658,3.0919071283886086,92.61470523776994,111.4882041716658
5.6999999999999996e-05,121.87579486202002,2.4357858123183376,72.81831589013048,121.87579486202002
5.8e-05,128.61384026389754,1.1005575417221747,53.68236274863178,128.61384026389754
5.9e-05,129.81427181833274,-0.44289939705767,42.8353546766959,129.81427181833274
5.9999999999999995e-05,125.1803065502459,-2.0574772793819998,34.38439632503655,125.1803065502459
6.1e-05,114.53169798911742,-3.70150353871553,21.25825970567041,114.53169798911742
6.2e-05,97.95394227233855,-5.207849102522326,11.058011175291982,97.95394227233855
6.3e-05,76.2483823769765,-6.455695730534126,4.297579317630896,76.2483823769765
6.4e-05,50.72566304593293,-7.249700966181909,-4.8552587717490505,50.72566304593293
6.5e-05,23.011095796160895,-7.647842366555782,-11.732972619571749,23.011095796160895
6.599999999999999e-05,-5.394083202399528,-7.628999137230809,-17.754329786123787,-5.394083202399528
6.7e-05,-32.87803374370087,-7.128081861244116,-27.441552020744382,-32.87803374370087
6.8e-05,-57.87706173941373,-6.322276239991682,-32.77055019006971,-57.87706173941373
6.9e-05,-79.41827292598364,-5.268323180884946,-31.038468512537285,-79.41827292598364
7e-05,-96.51694349192066,-3.8878770507553813,-21.08149069869213,-96.51694349192066
7.099999999999999e-05,-107.57157973898163,-2.0511075492836937,-8.260606667896266,-107.57157973898163
7.2e-05,-111.29887499534335,0.08044391255697025,-6.076047908003598,-111.29887499534335
7.3e-05,-107.2004994815393,2.0986909711813233,-10.37099840997341,-107.2004994815393
7.4e-05,-96.18377824837067,3.786122817284852,-11.000397075266697,-96.18377824837067
7.5e-05,-79.70989658702878,5.036976059292903,-7.090930048303113,-79.70989658702878
7.599999999999999e-05,-59.277971052489335,5.969502910194407,4.9576293969832825,-59.277971052489335
7.7e-05,-35.18402353731315,7.020335755857819,36.03551485575642,-35.18402353731315
7.8e-05,-7.647806642425758,7.834231242205677,67.90286702855619,-7.647806642425758
7.9e-05,22.93921326809088,8.70054155063174,98.41578864149565,22.93921326809088
7.999999999999999e-05,56.54089845112716,9.345745194710057,126.62060333701739,56.54089845112716
8.099999999999999e-05,91.98352657583709,9.76831857337562,149.30569530454613,91.98352657583709
8.2e-05,128.59407236437707,9.961382342730177,163.43076268893842,128.59407236437707
8.3e-05,165.16680373273658,9.67330839273569,173.300158571153,165.16680373273658
8.4e-05,199.5885836796865,8.829203349578505,173.68657684741953,199.5885836796865
8.499999999999999e-05,230.01282732307675,7.5143949277993585,167.6550142910281,230.01282732307675
8.599999999999999e-05,254.67583730267697,5.664423725296093,157.1394550014248,254.67583730267697
8.7e-05,271.3535749322007,3.308033377115838,149.49679193318514,271.3535749322007
8.8e-05,278.6936002903654,0.6711112135987198,150.80647209909716,278.6936002903654
8.9e-05,276.47159016006304,-1.8286229747141873,142.67163701048196,276.47159016006304
8.999999999999999e-05,265.19588879938067,-4.247991898864501,132.9014717181094,265.19588879938067
9.099999999999999e-05,245.28591897339618,-6.454562766959648,114.56102801139,245.28591897339618
9.2e-05,217.66802089852308,-8.407991929508423,95.77209956818353,217.66802089852308
9.3e-05,183.4934846772358,-9.97310048212975,85.37020392274434,183.4934846772358
9.4e-05,144.50922824296825,-10.963346770136196,76.150526861169,144.50922824296825
9.499999999999999e-05,102.96079098079477,-11.364528975106966,61.07285231590079,102.96079098079477
9.6e-05,61.155227206332384,-11.11149971351235,44.50069381217985,61.155227206332384
9.7e-05,21.450355625020038,-10.283324183009062,33.07016250066404,21.450355625020038
9.8e-05,-14.694896451022288,-9.168845044789919,21.186008656293307,-14.694896451022288
9.9e-05,-45.9749186500577,-7.642436442342671,12.29141817664395,-45.9749186500577
9.999999999999999e-05,-70.88368119326947,-5.776574658781341,5.0336706871648085,-70.88368119326947
0.000101,-88.65840107953564,-3.8012572462728853,-0.7837858981139811,-88.65840107953564
0.000102,-98.97810771697267,-1.7683858953449239,6.588839045113928,-98.97810771697267
0.000103,-101.59222858278306,0.38204851959465014,15.079941475070049,-101.59222858278306
0.000104,-96.22904541535246,2.482012602848319,11.220551878817592,-96.22904541535246
0.00010499999999999999,-83.51306156351795,4.307710430835408,5.65668555454717,-83.51306156351795
0.000106,-64.91234756417435,5.632671501196484,-0.6724539394683281,-64.91234756417435
0.000107,-42.56745842567344,6.340919863028203,-2.7296825415423456,-42.56745842567344
0.000108,-18.62328416034635,6.49872248958608,-7.575427419038933,-18.62328416034635
0.00010899999999999999,4.897392680156244,6.105759397393582,-11.894223588255246,4.897392680156244
0.00010999999999999999,25.977146601619964,5.214660910449278,-11.02591385339215,25.977146601619964
0.000111,43.139851307030284,4.025258587840929,-6.612178034711142,43.139851307030284
0.000112,55.61735932219069,2.688165882662031,-9.090173139324504,55.61735932219069
0.000113,62.84475181172818,1.1953162254155572,-14.743405342774773,62.84475181172818
0.00011399999999999999,64.34640450590122,-0.4114031012437698,-22.57338624189577,64.34640450590122
0.00011499999999999999,59.74713820365477,-2.058964452727271,-29.488755293785974,59.74713820365477
0.000116,49.25288998178993,-3.560388186174032,-24.748144103823257,49.25288998178993
0.000117,33.92618232922975,-4.6367808948391005,-18.19658751549715,33.92618232922975
0.000118,15.53544706135294,-5.216135217772642,-17.949978986622604,15.53544706135294
