time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,9.386528248798202,0.0
5e-07,0.08573647489079099,0.09043450750948626,4.316920856830068,0.08573647489079099
1e-06,0.28937822173997885,0.1262422275517259,2.309394127498119,0.28937822173997885
1.5e-06,0.5365258554714677,0.14009848642122638,4.147159977333001,0.5365258554714677
2e-06,0.8177579688188507,0.16797840201671296,7.840749497841844,0.8177579688188507
2.4999999999999998e-06,1.1868697144690175,0.2315249889430571,7.572286666950307,1.1868697144690175
3e-06,1.6675968157506822,0.2848440365758922,4.633527089102045,1.6675968157506822
3.5e-06,2.2171647546346076,0.30418776982105283,3.1871575979903604,2.2171647546346076
4e-06,2.7812091363951392,0.30343328370196915,3.7837343305238123,2.7812091363951392
4.5e-06,3.34080199396894,0.3025734036737443,8.10667023945339,3.34080199396894
4.9999999999999996e-06,3.9438191097509763,0.3643379336657212,21.24778528541259,3.9438191097509763
5.5e-06,4.754670979655927,0.520373295719009,36.00150663088311,4.754670979655927
6e-06,5.947626910293253,0.8005757032992975,51.324408452764004,5.947626910293253
6.5e-06,7.801893973307976,1.2079843471935985,66.67709743534189,7.801893973307976
7e-06,10.49178205180025,1.7285981264160153,80.50844358507821,10.49178205180025
7.499999999999999e-06,14.265348721905253,2.3466851231451917,91.19502798986883,14.265348721905253
8e-06,19.221150830589856,3.0184168307992225,100.24663597418133,19.221150830589856
8.5e-06,25.449589705080868,3.698618733012726,105.21432703810784,25.449589705080868
9e-06,32.88931332784433,4.327709080580935,107.04323462358235,32.88931332784433
9.499999999999999e-06,41.42663487474032,4.880163516741408,106.35127382384589,41.42663487474032
9.999999999999999e-06,50.89928738520054,5.32845881246781,106.16944620738221,50.89928738520054
1.05e-05,61.10729773353663,5.677724856378162,109.38285136670534,61.10729773353663
1.1e-05,71.87793657326372,5.936354846841964,108.35731965488027,71.87793657326372
1.15e-05,82.97853315435454,6.045121482562123,106.11090183627341,82.97853315435454
1.2e-05,94.14663795361308,5.9884344394903515,99.62013230245553,94.14663795361308
1.2499999999999999e-05,105.0960244867886,5.802351450504695,92.06872182795762,105.0960244867886
1.3e-05,115.55232226318697,5.474600470645482,87.38286455870377,115.55232226318697
1.35e-05,125.2434749832062,4.976648338235006,82.84888389481611,125.2434749832062
1.4e-05,133.891999121026,4.330805538241936,75.45379136581577,133.891999121026
1.45e-05,141.23674827948793,3.5604838880011807,66.8560681269638,141.23674827948793
1.4999999999999999e-05,147.04553654054422,2.6918515654262345,59.956374922000094,147.04553654054422
1.55e-05,151.14935229118655,1.7260599407061836,52.56377006465531,151.14935229118655
1.6e-05,153.36665930168505,0.6603817755987813,46.163707344986925,153.36665930168505
1.6499999999999998e-05,153.58510396353947,-0.4262325414825254,40.33175464560179,153.58510396353947
1.7e-05,151.79450051414327,-1.5110429936025456,35.01008692937452,151.79450051414327
1.75e-05,147.99943753919572,-2.5788369624592957,35.39174722877066,147.99943753919572
1.8e-05,142.28074338704016,-3.5792808964431355,36.81799415948083,142.28074338704016
1.85e-05,134.79860767528564,-4.483966635134107,33.37090362728714,134.79860767528564
1.8999999999999998e-05,125.70200838317659,-5.319775141035816,29.14669128004054,125.70200838317659
1.95e-05,115.13064691751339,-6.089144731635876,24.501383990298493,115.13064691751339
1.9999999999999998e-05,103.22406815776054,-6.765208975612656,21.618123201799875,103.22406815776054
2.05e-05,90.16276170468177,-7.318423557061513,17.607580642476794,90.16276170468177
2.1e-05,76.18336873669338,-7.7534884703795415,13.76475277904601,76.18336873669338
2.1499999999999997e-05,61.51667929556428,-8.065397110434384,12.147806227376357,61.51667929556428
2.2e-05,46.40469566262527,-8.239863924977438,12.286389456305095,46.40469566262527
2.2499999999999998e-05,31.104329881104995,-8.262731880458556,9.750030660048798,31.104329881104995
2.3e-05,15.869620378276132,-8.164723137836427,5.838610314836217,15.869620378276132
2.35e-05,0.9082998658621477,-7.9631203295506925,0.880257562293979,0.9082998658621477
2.4e-05,-13.581266451018145,-7.663541760969115,-3.8964476052256813,-13.581266451018145
2.45e-05,-27.40685074453006,-7.2628639398803925,-3.7460338339141925,-27.40685074453006
2.4999999999999998e-05,-40.38236256412374,-6.749221576494155,-2.431706716223747,-40.38236256412374
2.55e-05,-52.33487657586186,-6.127268105448213,-3.4994180997567748,-52.33487657586186
2.6e-05,-63.059317419035985,-5.414451383557948,-1.5844323711961605,-63.059317419035985
2.65e-05,-72.32039492726611,-4.585368031014681,6.123155630972525,-72.32039492726611
2.7e-05,-79.91150294650717,-3.6342081131309714,15.046706366545923,-79.91150294650717
2.7499999999999998e-05,-85.65575189419754,-2.576409557751443,18.93020420463636,-85.65575189419754
2.8e-05,-89.40596875925856,-1.4486581552528,20.736113848588804,-89.40596875925856
2.8499999999999998e-05,-91.0469328702388,-0.30774032555582465,24.29217271664319,-91.0469328702388
2.9e-05,-90.5754717772103,0.8259580496728618,26.303826718311193,-90.5754717772103
2.95e-05,-88.00772822492004,1.9469343421946799,28.836326844929197,-88.00772822492004
2.9999999999999997e-05,-83.38480413243242,3.030630372260646,32.141700413287985,-83.38480413243242
3.05e-05,-76.81113643689088,4.045932843914172,32.778080329147144,-76.81113643689088
3.1e-05,-68.45449709351803,4.955173344991053,30.34832989276606,-68.45449709351803
3.15e-05,-58.51442097355648,5.755906713758295,19.81764040000472,-58.51442097355648
3.2e-05,-47.31180670015388,6.309115907411407,6.6507533698502215,-47.31180670015388
3.25e-05,-35.32604875700779,6.588355432665004,-6.122153553016639,-35.32604875700779
3.2999999999999996e-05,-22.997742433502452,6.677666046442738,-18.585681471519656,-22.997742433502452
3.35e-05,-10.783358169899085,6.476277960588653,-26.370106235495715,-10.783358169899085
3.4e-05,0.8555050852823551,6.065829340097379,-35.219827468663254,0.8555050852823551
3.45e-05,11.55629485453526,5.453374629700673,-43.89539518412611,11.55629485453526
3.5e-05,20.96389513861443,4.673376661022134,-49.651375238841,20.96389513861443
3.5499999999999996e-05,28.828934854636547,3.8141968750123514,-51.34593252893442,28.828934854636547
3.6e-05,35.03757200945095,2.889946037042732,-54.115520873242176,35.03757200945095
3.65e-05,39.493389586779074,1.9137360751140884,-53.95926917960634,39.493389586779074
3.7e-05,42.1214696747946,0.9197940687421569,-53.27495677835852,42.1214696747946
3.75e-05,42.908902980568094,-0.06555025216564969,-54.24378402631839,42.908902980568094
3.7999999999999995e-05,41.89237930913818,-1.0192617616539734,-53.8865788181263,41.89237930913818
3.85e-05,39.1581503995323,-1.9215374071749707,-52.75147057269411,39.1581503995323
3.9e-05,34.82531799960937,-2.7559507197784967,-52.598143316366034,34.82531799960937
3.95e-05,29.01788573089071,-3.5105817878819794,-52.404713401863106,29.01788573089071
3.9999999999999996e-05,21.886233612405665,-4.173854835605598,-52.56660926789262,21.886233612405665
4.0499999999999995e-05,13.610762642817264,-4.733776227634599,-51.7636885202006,13.610762642817264
4.1e-05,4.4018948004221485,-5.1779344692193074,-48.043888823575394,4.4018948004221485
4.15e-05,-5.50120307171677,-5.489285802680119,-41.237051317426065,-5.50120307171677
4.2e-05,-15.818341240104244,-5.629807829920214,-35.99493155978995,-15.818341240104244
4.2499999999999996e-05,-26.229722608757477,-5.597560084362899,-28.267478491012984,-26.229722608757477
