time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,-2.132698391566817,0.0
5e-07,-0.01952389456817936,-0.021058526891650914,-10.606966790097177,-0.01952389456817936
1e-06,-0.15232243335691964,-0.13018139331462897,-20.214918339248584,-0.15232243335691964
1.5e-06,-0.575414059633427,-0.33180639751296104,-29.92346561783423,-0.575414059633427
2e-06,-1.4497867678079746,-0.6272873537630428,-37.302651984597304,-1.4497867678079746
2.4999999999999998e-06,-2.918552047446047,-0.9579679691050176,-41.19511482399258,-2.918552047446047
3e-06,-5.012726803404924,-1.308017324491248,-45.94998230347612,-5.012726803404924
3.5e-06,-7.765020295203227,-1.6602047563763078,-48.11479298916502,-7.765020295203227
4e-06,-11.145237284891287,-1.9877493569289042,-49.653662404123594,-11.145237284891287
4.5e-06,-15.121667286174894,-2.301898615666642,-52.48705263391703,-15.121667286174894
4.9999999999999996e-06,-19.649984871738358,-2.5821221375849737,-54.08073292822462,-19.649984871738358
5.5e-06,-24.65631236422545,-2.819932745635057,-54.851995325789886,-24.65631236422545
6e-06,-30.056783124123214,-3.010717536812857,-56.32880460724537,-30.056783124123214
6.5e-06,-35.76387864438264,-3.145857293220278,-57.66536328076572,-35.76387864438264
7e-06,-41.68180409957324,-3.2281148461923994,-59.21245690972219,-41.68180409957324
7.499999999999999e-06,-47.70978149250768,-3.2691590902321805,-59.83856238885223,-47.70978149250768
8e-06,-53.771568477973084,-3.257217601722325,-57.79900391829293,-53.771568477973084
8.5e-06,-59.74850237204994,-3.1826007365202265,-52.81069370545591,-59.74850237204994
9e-06,-65.49900060816802,-3.026090813784103,-48.86384735142233,-65.49900060816802
9.499999999999999e-06,-70.86407979731356,-2.754854681043044,-42.47770818866429,-70.86407979731356
9.999999999999999e-06,-75.62871640500121,-2.3792554696103965,-39.80096313138081,-75.62871640500121
1.05e-05,-79.63422578923485,-1.9345192950294998,-38.25469972659879,-79.63422578923485
1.1e-05,-82.76873789883857,-1.4420657599101745,-35.43843741971122,-82.76873789883857
1.15e-05,-84.95320057240839,-0.9117019288160222,-32.292206296702986,-84.95320057240839
1.2e-05,-86.12978001002114,-0.35707806340576376,-30.669093760493183,-86.12978001002114
1.2499999999999999e-05,-86.2729382465782,0.20157825722024514,-30.112132557565808,-86.2729382465782
1.3e-05,-85.39488276552953,0.7428683757588597,-30.908061071907255,-85.39488276552953
1.35e-05,-83.5466088870776,1.242959597648047,-32.43520836722661,-83.5466088870776
1.4e-05,-80.8129691472114,1.6955188464628086,-31.933120583329423,-80.8129691472114
1.45e-05,-77.27903698370423,2.1098604190921115,-30.548589626604663,-77.27903698370423
1.4999999999999999e-05,-73.01984867280234,2.4888285524404483,-29.96608344838631,-73.01984867280234
1.55e-05,-68.10037167774003,2.8283645610990282,-27.636053743189258,-68.10037167774003
1.6e-05,-62.5944053072135,3.113867886440237,-23.973947704111342,-62.5944053072135
1.6499999999999998e-05,-56.597866835234676,3.3549683984936034,-18.535312461493138,-56.597866835234676
1.7e-05,-50.14959937208486,3.5879160678985933,-12.501641586867935,-50.14959937208486
1.75e-05,-43.283977426883325,3.819462205466808,-8.936461920822945,-43.283977426883325
1.8e-05,-36.034263896387415,4.024956613349154,-6.985750685145566,-36.034263896387415
1.85e-05,-28.45120642110102,4.154920886762338,-3.6838930669242838,-28.45120642110102
1.8999999999999998e-05,-20.681657061145632,4.215796166445598,0.792573312335651,-20.681657061145632
1.95e-05,-12.825080159532241,4.247724384189693,4.963455480854481,-12.825080159532241
1.9999999999999998e-05,-4.941114507732447,4.268403910373704,9.440959850098787,-4.941114507732447
2.05e-05,2.943342877092526,4.272090098238739,15.617170122773988,2.943342877092526
2.1e-05,10.818531829832793,4.23092778079381,20.559356791030833,10.818531829832793
2.1499999999999997e-05,18.584765254601777,4.142145986427694,25.430631857171015,18.584765254601777
2.2e-05,26.169992918137968,4.037102576965456,29.229308010668234,26.169992918137968
2.2499999999999998e-05,33.537682304868014,3.9268755580874863,32.38492055340607,33.537682304868014
2.3e-05,40.678131874009864,3.7991207241727993,37.526228468417784,40.678131874009864
2.35e-05,47.544053126829816,3.6078260712369237,44.43316122541106,47.544053126829816
2.4e-05,54.06805694912494,3.437714479022731,52.92652362746978,54.06805694912494
2.45e-05,60.30151676511218,3.2994998836415523,63.06155671251289,60.30151676511218
2.4999999999999998e-05,66.27288425540073,3.163189093858329,72.50994507305651,66.27288425540073
2.55e-05,72.08695094190055,3.123762760479228,81.51186173717483,72.08695094190055
2.6e-05,77.85546358829171,3.1040844475855596,88.70681325278754,77.85546358829171
2.65e-05,83.57403010949797,3.0702895296684716,94.88032927401468,83.57403010949797
2.7e-05,89.25148241328904,3.0642836798864934,99.64314395983023,89.25148241328904
2.7499999999999998e-05,94.92371068989293,3.06972298495024,103.67530740317123,94.92371068989293
2.8e-05,100.60533043653332,3.0549207061507664,107.44044856561784,100.60533043653332
2.8499999999999998e-05,106.22678178055261,3.0122553130405425,109.84869303829585,106.22678178055261
2.9e-05,111.73538269888041,2.943353564894884,114.71146083655249,111.73538269888041
2.95e-05,117.11507951337757,2.8643612311971824,116.61583522207651,117.11507951337757
2.9999999999999997e-05,122.31636372056973,2.7468257952194763,115.26728970820236,122.31636372056973
3.05e-05,127.24892584778527,2.570295444002642,115.70941299742275,127.24892584778527
3.1e-05,131.81240326578512,2.3543882353890058,118.02230628404637,131.81240326578512
3.15e-05,135.95411477731938,2.1176455686236713,121.40917863794459,135.95411477731938
3.2e-05,139.67742932618668,1.8940265107604852,125.28628961376481,139.67742932618668
3.25e-05,142.99474640521413,1.6904664660897977,127.77615246226419,142.99474640521413
3.2999999999999996e-05,145.9255902103751,1.4823598459338843,127.43990166605421,145.9255902103751
3.35e-05,148.45337029463232,1.2413196230948012,125.83486772885604,148.45337029463232
3.4e-05,150.49636707571736,0.962343933984846,122.96115619354785,150.49636707571736
3.45e-05,151.99160716928995,0.6481297664708201,121.4385137704353,151.99160716928995
3.5e-05,152.8919899887362,0.3203151379066001,119.23356209655283,152.8919899887362
3.5499999999999996e-05,153.16730703481943,-0.03118324591293392,114.76978970673946,153.16730703481943
3.6e-05,152.7365270700071,-0.43514862969913193,109.47865060321534,152.7365270700071
3.65e-05,151.52722910307563,-0.8761522603007319,104.7424374493967,151.52722910307563
3.7e-05,149.50647193124837,-1.3067660299952282,98.7243706365468,149.50647193124837
3.75e-05,146.69633161241774,-1.7250334632072244,91.18778534646478,146.69633161241774
3.7999999999999995e-05,143.0745995596201,-2.1869676027129525,84.44983608824083,143.0745995596201
3.85e-05,138.57628261415076,-2.690655440459135,78.56366113544017,138.57628261415076
3.9e-05,133.12913224343754,-3.1895994583342446,71.91368949824339,133.12913224343754
3.95e-05,126.76034825202086,-3.685064537668692,64.71786779244484,126.76034825202086
3.9999999999999996e-05,119.49365469623095,-4.172988922058005,57.65722363029766,119.49365469623095
4.0499999999999995e-05,111.35876275730902,-4.599791632772771,47.66207055680603,111.35876275730902
4.1e-05,102.4169926532569,-5.059258151559513,34.81243361112378,102.4169926532569
4.15e-05,92.60167546940461,-5.539590203615532,21.280890121957864,92.60167546940461
4.2e-05,81.93102825305847,-5.984767131051674,8.893851876106536,81.93102825305847
4.2499999999999996e-05,70.39656786091095,-6.470916023333682,-0.492121735893381,70.39656786091095
4.2999999999999995e-05,57.978013829383706,-6.943938692266476,-4.919646718110714,57.978013829383706
4.35e-05,44.77004278893381,-7.29789868289858,-6.294035810392672,44.77004278893381
4.4e-05,31.02491798846694,-7.523462237825965,-7.358464892260005,31.02491798846694
4.45e-05,16.98341979853543,-7.620989746193261,-8.890044642411453,16.98341979853543
4.4999999999999996e-05,2.8862106111255095,-7.583135214675956,-12.244438838384916,2.8862106111255095
4.5499999999999995e-05,-11.039413974475611,-7.433804060789677,-15.756696628992607,-11.039413974475611
4.6e-05,-24.60102959686315,-7.1900270149888605,-19.128343159109576,-24.60102959686315
4.65e-05,-37.62239270767337,-6.856456916689037,-21.85116052195371,-37.62239270767337
4.7e-05,-49.94015598023467,-6.437748187683403,-25.345818080789098,-49.94015598023467
4.7499999999999996e-05,-61.40386830956674,-5.938556832142834,-26.743790965398535,-61.40386830956674
4.8e-05,-71.87597353471571,-5.363313635822795,-24.453703595882846,-71.87597353471571
4.85e-05,-81.20742725839447,-4.68426608926639,-21.604733448605025,-81.20742725839447
4.9e-05,-89.1908657714329,-3.8994685490413126,-17.89834760687648,-89.1908657714329
4.95e-05,-95.64242614606093,-3.0343862042792233,-13.209673926412515,-95.64242614606093
4.9999999999999996e-05,-100.42096893783146,-2.110826929453884,-9.469201423795408,-100.42096893783146
5.05e-05,-103.42807818562042,-1.1469412843811506,-5.931196137343342,-103.42807818562042
5.1e-05,-104.60806141162662,-0.15722251421901756,-2.6659164137183415,-104.60806141162662
5.15e-05,-103.94794962137192,0.847493450532455,-0.04714639941773717,-103.94794962137192
5.2e-05,-101.44884668273264,1.8343164335161397,0.6776929627347126,-101.44884668273264
5.2499999999999995e-05,-97.17418511207408,2.7656664407851936,1.2314218682802038,-97.17418511207408
5.3e-05,-91.24143897514088,3.6397153192377423,3.513694809209884,-91.24143897514088
5.35e-05,-83.7484205511005,4.455508788861957,9.205352461342024,-83.7484205511005
5.4e-05,-74.79405059503182,5.208872416801151,17.89943464460642,-74.79405059503182
5.4499999999999997e-05,-64.44855535964173,5.949886011861175,29.785890720400804,-64.44855535964173
5.4999999999999995e-05,-52.73228581841095,6.7009968229152985,39.81472559695546,-52.73228581841095
5.55e-05,-39.701557011930085,7.363002722067356,49.75172793618036,-39.701557011930085
5.6e-05,-25.541329811435137,7.908935467690345,60.02396760723415,-25.541329811435137
5.65e-05,-10.395118280192953,8.43541319158963,72.717841820419,-10.395118280192953
5.6999999999999996e-05,5.6807611414261885,8.94492334133018,82.23694861915602,5.6807611414261885
5.7499999999999995e-05,22.64182537814147,9.36433619731832,87.55191962982278,22.64182537814147
5.8e-05,40.25666431443431,9.642709239312417,88.8854129123277,40.25666431443431
5.85e-05,58.222442880666236,9.720558915157953,84.62019877990114,58.222442880666236
5.9e-05,76.13639735795437,9.569845601689293,77.96740818061178,76.13639735795437
5.9499999999999996e-05,93.54619376056122,9.194623619871685,70.09170726530758,93.54619376056122
5.9999999999999995e-05,110.04273148192877,8.59324505361566,63.062974006659225,110.04273148192877
6.05e-05,125.23384775968603,7.783497412091116,58.46396625225411,125.23384775968603
6.1e-05,138.78687527317499,6.822131076927855,58.738538378991514,138.78687527317499
6.149999999999999e-05,150.46931245030308,5.778744869736884,61.24574134951452,150.46931245030308
6.2e-05,160.16617271038996,4.676288705284215,61.88774918583783,160.16617271038996
6.25e-05,167.77408535203233,3.5319333870420264,60.24510563153787,167.77408535203233
6.3e-05,173.2206826819042,2.3562745427849725,58.3788199489514,173.2206826819042
6.35e-05,176.46479581682584,1.1532394596642102,54.9725180214549,176.46479581682584
6.4e-05,177.46990765394682,-0.06694725397632761,55.49866237478619,177.46990765394682
6.45e-05,176.24065687376208,-1.2622237139558967,58.74602019402622,176.24065687376208
6.5e-05,172.8530957454558,-2.39487907618321,59.93818459331547,172.8530957454558
6.549999999999999e-05,167.43311045784972,-3.439749349686503,57.61625682813042,167.43311045784972
6.599999999999999e-05,160.15642111940343,-4.384217396613545,57.19323388902047,160.15642111940343
6.65e-05,151.24305934579883,-5.217689799598756,57.626766829675304,151.24305934579883
6.7e-05,140.9163316674913,-5.911420129517003,59.33819486346191,140.9163316674913
6.75e-05,129.40130747899434,-6.489226965991828,57.51323783199234,129.40130747899434
6.8e-05,116.91145650255756,-6.967725128625394,53.62141431768453,116.91145650255756
6.85e-05,103.6463286369079,-7.348856603182933,49.7306233278874,103.6463286369079
6.9e-05,89.79155395724945,-7.619890541592763,45.98105235727474,89.79155395724945
6.95e-05,75.53207453663566,-7.758544467776923,41.94338418885238,75.53207453663566
7e-05,61.11265690061347,-7.772994901917634,38.73777682003648,61.11265690061347
7.049999999999999e-05,46.75597115262955,-7.6820251864951254,33.81179969748552,46.75597115262955
7.099999999999999e-05,32.65951705367239,-7.49961306829712,28.637653631452878,32.65951705367239
7.15e-05,18.9988930811202,-7.23539432786796,24.48649286292614,18.9988930811202
7.2e-05,5.92779642874244,-6.894662779508642,22.28413183536631,5.92779642874244
7.25e-05,-6.421976993302636,-6.47837027127677,21.390974158605374,-6.421976993302636
7.3e-05,-17.940532558466117,-5.983126684986585,17.72921606465016,-17.940532558466117
7.35e-05,-28.50888790061872,-5.420749507681417,11.452801161546551,-28.50888790061872
7.4e-05,-38.0101836453199,-4.82136936181634,8.037694301222164,-38.0101836453199
7.45e-05,-46.37678651063479,-4.191097443583585,5.973569966836734,-46.37678651063479
7.5e-05,-53.5423119465936,-3.531585571268792,3.618481500834658,-53.5423119465936
7.549999999999999e-05,-59.441203003921025,-2.8402493835280795,4.4557966911585645,-59.441203003921025
7.599999999999999e-05,-64.00873033403614,-2.110268339388044,6.789746294067332,-64.00873033403614
7.65e-05,-67.18099218905263,-1.3305857182457341,11.283577816734816,-67.18099218905263
7.7e-05,-68.86262759022719,-0.48443199473404197,16.916489356489315,-68.86262759022719
7.75e-05,-68.92102379834003,0.42095730090022054,26.88856272796524,-68.92102379834003
7.8e-05,-67.29589396789376,1.3583154642928323,39.83194169960491,-67.29589396789376
7.85e-05,-63.93088148600891,2.3126438998806176,51.640763682305234,-63.93088148600891
7.9e-05,-58.77084039595112,3.281849903350002,63.75596692191489,-58.77084039595112
7.95e-05,-51.76183539713114,4.276746661637017,76.39136749086879,-51.76183539713114
7.999999999999999e-05,-42.851141845104806,5.321053252927293,89.48905432626617,-42.851141845104806
8.049999999999999e-05,-31.978859894681733,6.415207007081835,99.3538379992607,-31.978859894681733
