time,V_C,I_L,V_IN,V_C
0.0,0.0,0.0,-2.132698391566817,0.0
5e-07,-0.019816449530561782,-0.023857359658903066,-10.606966790097177,-0.019816449530561782
1e-06,-0.16206976115383204,-0.13581209373188902,-20.214918339248584,-0.16206976115383204
1.5e-06,-0.5966816159601358,-0.33821757646566186,-29.92346561783423,-0.5966816159601358
2e-06,-1.461013522240724,-0.6089517170371588,-37.302651984597304,-1.461013522240724
2.4999999999999998e-06,-2.898835929418034,-0.9483145189331221,-41.19511482399258,-2.898835929418034
3e-06,-4.9803177690939595,-1.2972159601258137,-45.94998230347612,-4.9803177690939595
3.5e-06,-7.702237631832463,-1.6401278379577982,-48.11479298916502,-7.702237631832463
4e-06,-11.05363022198366,-1.9791057423772935,-49.653662404123594,-11.05363022198366
4.5e-06,-15.016205850465832,-2.2999932792878175,-52.48705263391703,-15.016205850465832
4.9999999999999996e-06,-19.55492495683013,-2.5966705124326315,-54.08073292822462,-19.55492495683013
5.5e-06,-24.594534164590726,-2.8409686438068897,-54.851995325789886,-24.594534164590726
6e-06,-30.035188293064213,-3.0215247141409862,-56.32880460724537,-30.035188293064213
6.5e-06,-35.76792796282164,-3.1617871190866653,-57.66536328076572,-35.76792796282164
7e-06,-41.715310258015116,-3.2561145217027656,-59.21245690972219,-41.715310258015116
7.499999999999999e-06,-47.79725579947729,-3.3004182265586617,-59.83856238885223,-47.79725579947729
8e-06,-53.90784290750704,-3.284843902324548,-57.79900391829293,-53.90784290750704
8.5e-06,-59.91934281545192,-3.1870641453375397,-52.81069370545591,-59.91934281545192
9e-06,-65.66688101896793,-2.9930657575529254,-48.86384735142233,-65.66688101896793
9.499999999999999e-06,-70.96177093102911,-2.7112476725868415,-42.47770818866429,-70.96177093102911
9.999999999999999e-06,-75.64593649561178,-2.348832061046448,-39.80096313138081,-75.64593649561178
1.05e-05,-79.59411560624044,-1.9115506549012555,-38.25469972659879,-79.59411560624044
1.1e-05,-82.69780327651583,-1.429753580776586,-35.43843741971122,-82.69780327651583
1.15e-05,-84.87647643379039,-0.9178167959765167,-32.292206296702986,-84.87647643379039
1.2e-05,-86.07605808849169,-0.3797809598884945,-30.669093760493183,-86.07605808849169
1.2499999999999999e-05,-86.26245788020904,0.1774444375608271,-30.112132557565808,-86.26245788020904
1.3e-05,-85.4177672160764,0.7314845103740587,-30.908061071907255,-85.4177672160764
1.35e-05,-83.585016975997,1.244953271106841,-32.43520836722661,-83.585016975997
1.4e-05,-80.84259347914202,1.704680391672943,-31.933120583329423,-80.84259347914202
1.45e-05,-77.28800544566049,2.1235714818768074,-30.548589626604663,-77.28800544566049
1.4999999999999999e-05,-72.99215212104893,2.503651286168929,-29.96608344838631,-72.99215212104893
1.55e-05,-68.0341142907956,2.846649376455762,-27.636053743189258,-68.0341142907956
1.6e-05,-62.47847460704875,3.1553163518077527,-23.973947704111342,-62.47847460704875
1.6499999999999998e-05,-56.38354958201398,3.4180937038681227,-18.535312461493138,-56.38354958201398
1.7e-05,-49.826643737053374,3.6591779739244275,-12.501641586867935,-49.826643737053374
1.75e-05,-42.83779533825501,3.890570859793169,-8.936461920822945,-42.83779533825501
1.8e-05,-35.442880624879116,4.084522412406094,-6.985750685145566,-35.442880624879116
1.85e-05,-27.757904579499304,4.214137657277974,-3.6838930669242838,-27.757904579499304
1.8999999999999998e-05,-19.894700911435166,4.272996373361935,0.792573312335651,-19.894700911435166
1.95e-05,-11.955961801724172,4.278830663688781,4.963455480854481,-11.955961801724172
1.9999999999999998e-05,-4.033135832132693,4.269779073015131,9.440959850098787,-4.033135832132693
2.05e-05,3.845220766563882,4.232947940998829,15.617170122773988,3.845220766563882
2.1e-05,11.654845472438943,4.194124894346775,20.559356791030833,11.654845472438943
2.1499999999999997e-05,19.356622126309787,4.120613322308514,25.430631857171015,19.356622126309787
2.2e-05,26.89638658945276,4.0278960440782186,29.229308010668234,26.89638658945276
2.2499999999999998e-05,34.21990719907092,3.8903959908042594,32.38492055340607,34.21990719907092
2.3e-05,41.24570605927201,3.6735103508815707,37.526228468417784,41.24570605927201
2.35e-05,47.85974139613414,3.4615493536567747,44.43316122541106,47.85974139613414
