"Ovld2","Ovld1","V1","V2",
0,0,0.005885,0.033315,
,,0.0060811,0.040618,
,,0.0065579,0.028894,
,,0.0063852,0.0050221,
,,0.0060795,-0.019266,
,,0.005777,-0.032802,
,,0.0061323,-0.030359,
,,0.0063377,-0.013928,
,,0.0058974,0.0082267,
,,0.0058479,0.025247,
,,0.0062008,0.029706,
,,0.0065767,0.02043,
,,0.0062322,0.002839,
,,0.0059804,-0.014578,
,,0.0064404,-0.023999,
,,0.0065141,-0.021436,
,,0.0061742,-0.0087118,
,,0.0057709,0.0075104,
,,0.0060315,0.019348,
,,0.0063865,0.021729,
,,0.0059578,0.014313,
,,0.0058051,0.00099414,
,,0.0061264,-0.011805,
,,0.0065381,-0.018108,
,,0.0063498,-0.015259,
,,0.0059649,-0.0052157,
,,0.0063524,0.0067855,
,,0.0065692,0.015188,
,,0.0062784,0.016537,
,,0.0058461,0.010546,
,,0.0059401,0.0002321,
,,0.0063762,-0.0093271,
,,0.0060528,-0.013654,
,,0.0057838,-0.011152,
,,0.0060399,-0.0035499,
,,0.0064909,0.0053153,
,,0.0064654,0.011533,
,,0.0059635,0.012463,
,,0.0062271,0.0078332,
,,0.0065579,0.0001851,
,,0.0063248,-0.0066015,
,,0.0058841,-0.0095556,
,,0.0058272,-0.0077678,
,,0.0063334,-0.0024146,
,,0.0061744,0.004025,
,,0.005787,0.0085139,
,,0.0059599,0.009039,
,,0.0063975,0.005627,
,,0.0065328,0.00027825,
,,0.0060338,-0.0043156,
,,0.0061186,-0.0063294,
,,0.006548,-0.0050244,
,,0.0064209,-0.0010453,
,,0.0059943,0.0036378,
,,0.0057923,0.0065867,
,,0.0062644,0.0064445,
,,0.0062666,0.0036789,
,,0.0058238,-0.00024579,
,,0.0059008,-0.0036203,
,,0.0062977,-0.0049801,
,,0.0065575,-0.0036281,
,,0.0061313,-0.00024127,
,,0.0060491,0.0032878,
,,0.006498,0.0053571,
,,0.0064686,0.0052793,
,,0.0060965,0.0032107,
,,0.005746,0.00016273,
,,0.0061304,-0.0026632,
,,0.0063434,-0.0038878,
,,0.0058662,-0.0029368,
,,0.0058315,-0.00054844,
,,0.0062056,0.0020426,
,,0.0065546,0.0038304,
,,0.0062342,0.0042092,
,,0.0059723,0.0030136,
,,0.0064155,0.00079299,
,,0.0065059,-0.0012886,
,,0.0061692,-0.0022278,
,,0.0057641,-0.0017911,
,,0.0060132,-0.00043721,
,,0.006385,0.0013049,
,,0.0059622,0.0026494,
